Iteration;FunGanamosTodos;mmontenegro;JavierMAlcalde;HaroldMesias;radiocondell;cronicacurico;rtlcurico;Mundo_Curico;luiscabello_cco;arriagadaPAD
0;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05;1.3386880856760376e-05
1;0.005553639966243862;0.0023887932710699228;0.005990832133729986;0.002147574705629537;0.003423749661539943;0.0030081146353351396;0.002934328626161185;0.002324522729909182;0.0026430964743026047;0.0003805362488317821
2;0.00766312422765466;0.0033356697761496544;0.006890867158256022;0.002843736337543983;0.0038368832061833774;0.0033991237183070904;0.0033093752076563533;0.002709629760409565;0.0030008624961720284;0.000642259825130342
3;0.010416262407955401;0.004536003507664233;0.008760041028376294;0.003710426731528799;0.004727080834231512;0.0041928926098332465;0.004098204671362564;0.0035325640684874264;0.0037983297534896097;0.0010094112763053707
4;0.01216111403923881;0.00557784339880123;0.009760805340427054;0.004371757729153683;0.005208376491695915;0.004620820854999703;0.0045244373342631095;0.003964420802123683;0.00421676992310842;0.0013529323759541064
5;0.014149082549208776;0.006688811300810258;0.010918636558581645;0.005063520485332383;0.005770053402776343;0.005119623306623458;0.0050200769397027965;0.0044689306059301215;0.00470542893676239;0.0017231664066093455
6;0.015875468814831987;0.0077754027717016295;0.011867943411339758;0.005713188529796799;0.006227855068298889;0.005525815242245433;0.005426209198683758;0.004877447431770485;0.005101369306779989;0.002088629585286684
7;0.017666224371653005;0.0088887760086577;0.01283497662951525;0.006370675178913373;0.006693706146286695;0.005939677757291686;0.005839187482903833;0.005293781209036921;0.005503905617666301;0.0024624074522234256
8;0.019391469401833342;0.010002897127145543;0.013742270825314352;0.007018756708552603;0.0071291586092816946;0.006326300037649889;0.0062261728633977;0.005682286528278313;0.005879271245322183;0.0028361696531300894
9;0.021133134723984783;0.011127929496897839;0.014645792778653995;0.007669291769556941;0.007561957215063827;0.006710822468844009;0.006610810651025752;0.006068625464741285;0.006252156550748876;0.0032131349309224306
10;0.022857832639808586;0.01225643845942298;0.015529976773966878;0.008318011911377437;0.00798483195681198;0.007086403603478447;0.006987027475327846;0.006445936117767952;0.006616145210458095;0.003591007618480315
11;0.02458748927335909;0.013390147514149292;0.01641001468156554;0.008967850776498424;0.008405205635454945;0.007459878805868678;0.007361083781988314;0.0068210889124206975;0.006977909653950819;0.003970460946257601
12;0.026312951816521234;0.014526721489459625;0.017283381126462615;0.009617731416189578;0.008822109238523326;0.007830189551508437;0.007732198745340998;0.007193114023219955;0.007336539541933269;0.004350798193274413
